"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"164","var157",1.17086645273393,0.120869848947383,1,1.84149803047676,0.0328117711344086,0.0585978641099692,1
"165","simvar60",1.16536053862244,0.121979997911388,1,1.15896822065106,0.123269598856056,0.0368792478609934,1
"166","simvar13",1.15394840590786,0.124303775441319,1,1.4059399944652,0.0799102993888334,0.0447380770323787,1
"167","var709",1.14310495493122,0.126540291188459,1,1.74844603007385,0.0402322522732344,0.0556368788770072,1
"168","var301",1.12925048866197,0.129438438918181,1,1.08761345103792,0.138416074484134,0.0346086849691579,1
"169","var755",1.12666125230486,0.12998513172184,1,0.620913084099738,0.267346318757771,0.0197579252999574,1
"170","var375",1.12023069277142,0.131349794128104,1,0.764281551434627,0.222372564598738,0.0243200186758429,1
"171","var403",1.11852728507554,0.131712935259523,1,1.6162001850084,0.0530654480118255,0.0514287157782681,1
"172","var363",1.09534776275072,0.136723396838179,1,1.0308754654382,0.151331169306182,0.0328032392314911,1
"173","var305",1.07791841620091,0.140575732426095,1,1.1476933043706,0.125582350665911,0.0365204714729012,1
"174","var20",1.06578756298061,0.143300070310609,1,2.18525774842779,0.0144642513156091,0.0695365590776532,1
"175","var814",1.06540823540294,0.143385830703125,1,0.905632608651441,0.182592789701561,0.0288179165315615,1
"176","var675",1.06293254426229,0.143946399573354,1,1.33285011052241,0.0913289350270482,0.0424123014864857,1
"177","var839",1.03781627290802,0.149717030326242,1,1.58687857045316,0.0563100951614794,0.0504956797626129,1
"178","simvar89",1.0327044822102,0.150910152273386,1,0.821630757751998,0.205668333366236,0.0261449139203575,1
"179","var630",1.02903342154621,0.151770895282651,1,1.10752263182322,0.134067734770663,0.0352422102029023,1
"180","var587",1.0268104703571,0.152293687754831,1,0.878629902053541,0.189827710078714,0.0279586699260056,1
"181","var297",1.01199821981558,0.155807731995414,1,1.20828708294774,0.113504593199781,0.0384486114677365,1
"182","var704",1.00668466502896,0.157081247469885,1,0.836172882611128,0.201554115205595,0.0266076553636078,1
"183","var147",1.00450007499907,0.157606816000795,1,1.23157483613096,0.109090630533891,0.0391896454378373,1
"184","var770",1.00409788123767,0.157703701598795,1,0.703437665000743,0.240912250349119,0.0223839200592986,1
"185","var493",1.00183015034352,0.158250714138868,1,1.47667812904635,0.0699208267362227,0.0469890181297775,1
"186","var545",0.99684342018995,0.159457968353142,1,0.87654999448828,0.190392206963135,0.0278924856896646,1
"187","var44",0.996477342729589,0.15954683031044,1,1.20443181371438,0.114247442243255,0.0383259338765012,1
"188","var876",0.991493600414278,0.160759813347543,1,1.93515352538857,0.0265213784213,0.0615780529959564,1
"189","var560",0.991107042733588,0.16085414795186,1,1.30424011430176,0.0961138591618872,0.0415019097060012,1
"190","var175",0.980287135910453,0.163509277216108,1,0.938725900930504,0.173964443763758,0.0298709701932143,1
"191","var571",0.979900483144459,0.163604683109813,1,0.758194602082537,0.224189862549001,0.0241263273304953,1
"192","var578",0.971473119423767,0.165693101017407,1,0.580858996416447,0.280684313883097,0.0184833738487638,1
"193","var3",0.969509825594258,0.166182098528702,1,1.89704946966727,0.0289471410369066,0.060365553040897,1
"194","var9",0.948090551724115,0.171577496532196,1,1.83287997062911,0.033447824605031,0.0583236309088002,1
"195","var221",0.942043525605432,0.173120755825711,1,1.26998443269551,0.102082491017385,0.0404118679342823,1
"196","var695",0.940990183361652,0.173390480742547,1,1.53097384797529,0.0629279671911657,0.0487167490895154,1
"197","var459",0.932038872626288,0.175693396732812,1,1.95414950899456,0.025377003176324,0.0621825196027935,1
"198","var322",0.926679484794236,0.177081449576371,1,0.779949500324481,0.21773366564579,0.0248185846936909,1
"199","var132",0.923572240825792,0.177889374542659,1,1.17732178599372,0.119569013909176,0.0374632722314156,1
"200","var824",0.903717838207455,0.183106552862619,1,1.40946518276997,0.0793881925682373,0.0448502511980991,1
"201","var252",0.88870480867299,0.187114292506625,1,1.248582395159,0.105945925541076,0.0397308388663795,1
"202","var16",0.870054832380727,0.192167869490092,1,0.625437193691755,0.265860144510159,0.0199018858987221,1
"203","var359",0.866974951325875,0.193010389106576,1,0.97375991779618,0.165117692982652,0.0309857791832569,1
"204","var590",0.86432631036688,0.193736742307029,1,0.439388027801689,0.330202217771742,0.0139816603214096,1
"205","var71",0.86361514255038,0.193932053836161,1,1.15316296965559,0.124456637354889,0.0366945203710224,1
"206","var380",0.863381470476532,0.1939962545455,1,1.25072993462074,0.105553552618906,0.0397991752009653,1
"207","var806",0.845157966681567,0.19904293607228,1,1.06553413210318,0.143349707029419,0.0339061042934438,1
"208","var41",0.837092847386347,0.20130146469804,1,0.704448367920096,0.24059756148599,0.0224160813928128,1
"209","var126",0.83528573284395,0.201809622772572,1,0.886219961997173,0.187776479145786,0.0282001913904886,1
"210","var415",0.828497069232381,0.203725440229913,1,2.57582086921089,0.00501813338795094,0.0819645738239346,1
"211","var649",0.813385374599081,0.20802884715033,1,0.457466886677759,0.323680328845158,0.0145569433236993,1
"212","var133",0.804708178347191,0.210523958835952,1,1.48569549907494,0.0687197425436294,0.0472759576837816,1
"213","var634",0.796314081387799,0.212954305332315,1,1.68557639563947,0.0459782012210322,0.0536363194225528,1
"214","var825",0.789977082791998,0.214799861266822,1,1.10217680358373,0.135225982487463,0.0350721018934997,1
"215","var886",0.780006146205455,0.217722490558649,1,0.48814067010293,0.312738650197699,0.0155330063784186,1
"216","var392",0.778205026793021,0.218252862233375,1,1.61570981378284,0.0531184646913126,0.0514131117939229,1
"217","var834",0.774786912870412,0.219261431918991,1,0.288820852529319,0.386366814810647,0.00919049859871796,1
"218","var180",0.77355126988399,0.219626686834141,1,0.23893598782747,0.405583807453107,0.00760312436612842,1
"219","var2",0.762736509330702,0.222838403778579,1,1.75062590013891,0.0400439993394215,0.0557062439959135,1
"220","var442",0.759170998491097,0.223903111990749,1,0.815523988065434,0.207410805286184,0.0259505918769331,1
"221","var541",0.750392233163874,0.226536855835124,1,0.978280702930299,0.163997710718195,0.0311296339952498,1
"222","var387",0.746201890246308,0.227800156999325,1,0.614768181556481,0.269371618007143,0.0195623898401092,1
"223","var756",0.745642377448724,0.227969138118371,1,0.532181916238249,0.297314968914383,0.016934432235824,1
"224","var36",0.731026539700366,0.232408248908874,1,0.170684197816538,0.43224041536867,0.00543130063885171,1
"225","var595",0.726635267128802,0.233751299718693,1,0.680930227276466,0.247977777175572,0.0216677163189724,1
"226","var629",0.718545514272954,0.236236743971716,1,1.93840897022974,0.0263222523400588,0.0616816437200645,1
"227","var112",0.716209648048866,0.236957100456888,1,0.554658440210949,0.28957985567211,0.0176496522771268,1
